Betriebskosten-, Warmwasser- und Heizkostenabrechnungen;;;;;;;;;;;;
"Vervollständigt mit Primäranlage BK-1 (87 Seiten), Beweisanalyse und Einreichungsmappe. Jahreswerte 2009–2024 werden als Abrechnungsdaten geführt; Wertungen bleiben getrennte Prüfthesen.";;;;;;;;;;;;
;;;;;;;;;;;;
BK-ANTEIL 2024;;;;HK/WW-ÜBERSICHT 2024;;;;ERGEBNIS 2024;;;;
1.715,54 €;;;;1.352,52 €;;;;51,94 €;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
PRIMÄRABRECHNUNGSREIHE 2009–2024 – BK-1 / BEWEISANALYSE;;;;;;;;;;;;
Jahr;Heizung;Warmwasser;HK/WW gesamt;Betriebskostenanteil;Gesamtkosten Wohnung;Vorauszahlung;Ergebnis +Guthaben/−Nachzahlung;HKV-Einheiten;WW Veränderung %;HK/WW Veränderung %;Hinweis;Quellenstatus
2009;388,64 €;70,24 €;458,88 €;;;;;;;;Halbjahr;"BK-1 / Beweisanalyse; Original-PDF vorhanden."
2010;921,61 €;109,12 €;1.030,73 €;;;;;;55,4%;124,6%;;"BK-1 / Beweisanalyse; Original-PDF vorhanden."
2011;885,49 €;113,15 €;998,64 €;;;;;;3,7%;-3,1%;;"BK-1 / Beweisanalyse; Original-PDF vorhanden."
2012;921,13 €;118,24 €;1.039,37 €;;;;;;4,5%;4,1%;;"BK-1 / Beweisanalyse; Original-PDF vorhanden."
2013;1.120,13 €;116,65 €;1.236,78 €;;;;;;-1,3%;19,0%;;"BK-1 / Beweisanalyse; Original-PDF vorhanden."
2014;928,09 €;127,38 €;1.055,47 €;918,58 €;;;;5.394,00;9,2%;-14,7%;;"BK-1 / Beweisanalyse; Original-PDF vorhanden."
2015;951,85 €;125,58 €;1.077,43 €;;;;;5.198,00;-1,4%;2,1%;;"BK-1 / Beweisanalyse; Original-PDF vorhanden."
2016;267,16 €;21,98 €;289,14 €;;;;;1.730,00;-82,5%;-73,2%;Teiljahr;"BK-1 / Beweisanalyse; Original-PDF vorhanden."
2017;1.071,95 €;118,62 €;1.190,57 €;;;;;8.457,00;439,7%;311,8%;;"BK-1 / Beweisanalyse; Original-PDF vorhanden."
2018;1.038,35 €;212,05 €;1.250,40 €;1.010,43 €;;;;10.942,00;78,8%;5,0%;"WW-Anstieg gegenüber 2017; Ursachenprüfung offen.";"BK-1 / Beweisanalyse; Original-PDF vorhanden."
2019;1.123,43 €;203,07 €;1.326,50 €;952,76 €;;;;10.684,00;-4,2%;6,1%;"WW über früherem Niveau; Ursachenprüfung offen.";"BK-1 / Beweisanalyse; Original-PDF vorhanden."
2020;866,00 €;210,06 €;1.076,06 €;1.139,52 €;;;824,83 €;8.407,00;3,4%;-18,9%;Gebäudekosten-/Leistungszeitraum prüfen.;"BK-1 / Beweisanalyse; Ergebnisangabe aus Analyse."
2021;1.213,42 €;127,02 €;1.358,17 €;1.062,25 €;;;-188,42 €;13.448,22;-39,5%;26,2%;"HKV-Höchstwert; technische Ursachen offen.";"BK-1 / Beweisanalyse; Ergebnisangabe aus Analyse."
2022;;;1.014,85 €;1.086,69 €;2.101,54 €;2.454,00 €;352,46 €;;-100,0%;-25,3%;"Formatänderung; Heizung/WW kombiniert.";BK-1 / Beweisanalyse und Einreichungsmappe.
2023;1.288,03 €;0,00 €;1.289,97 €;1.291,66 €;2.581,63 €;3.120,00 €;538,37 €;;;27,1%;"WW in HK mit 0,00 € ausgewiesen; Differenz 1,94 € zwischen Heizung und HK/WW gesamt prüfen.";BK-1 / Beweisanalyse und Einreichungsmappe.
2024;;;1.352,52 €;1.715,54 €;3.068,06 €;3.120,00 €;51,94 €;;;4,8%;"Gesamtergebnis rechnerisch 51,94 €; Dokumenttext 643,42 € widersprüchlich.";BK-1 / Beweisanalyse und Einreichungsmappe.
2023;1.291,66 €;1.176,00 €;-115,66;nicht belastbar getrennt;nicht belastbar getrennt;;1.289,97 €;1.944,00 €;654,03 €;538,37 €;;"Split Heizung/Warmwasser in Scan widersprüchlich; Übersichtswert verwenden."
2024;1.715,54 €;1.176,00 €;-539,54;1.027,64 €;284,41 €;47,64 €;1.352,52 €;1.944,00 €;591,48 €;51,94 €;7,17 €;Detail-/Übersichtsdifferenz und abweichende HTML-Darstellung gesondert prüfen.
SALDENPRÜFUNG 2022–2024 – KOSTEN, VORAUSZAHLUNG UND ERGEBNIS;;;;;;;;;;;;
Jahr;BK-Anteil;HK/WW-Anteil;Gesamtkosten;Vorauszahlung;Rechnerisches Ergebnis;Ausgewiesenes Ergebnis;Differenz;BK-Komponente Ergebnis;HK-Komponente Ergebnis;Status;Beweisbezug;Nächste Prüfung
2022;1.086,69 €;1.014,85 €;2.101,54 €;2.454,00 €;352,46 €;352,46 €;0,00 €;;;Stimmt;BK-1 / Einreichungsmappe;Vorauszahlungsbuchungen im Mietkonto prüfen.
2023;1.291,66 €;1.289,97 €;2.581,63 €;3.120,00 €;538,37 €;538,37 €;0,00 €;;;Stimmt;BK-1 / Einreichungsmappe;WW=0 und 1,94-€-Differenz im HK-Block klären.
2024;1.715,54 €;1.352,52 €;3.068,06 €;3.120,00 €;51,94 €;51,94 €;-0,00 €;-539,54 €;591,48 €;Rechnerisch 51,94 €;BK-1 / Einreichungsmappe;Dokumenttext 643,42 € nicht als Gesamtguthaben verwenden.
Summe rechnerische Ergebnisse;;;;;942,77 €;942,77 €;0,00 €;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
WIDERSPRÜCHE UND KORREKTUREN AUS DEN NEUEN UNTERLAGEN;;;;;;;;;;;;
Thema;Wert A;Wert B;Rechnerische Prüfung;Übernommener Wert;Begründung;;;;;;;
2024 Gesamtguthaben;51,94 €;643,42 €;3.120,00 − 3.068,06 = 51,94 €;51,94 €;643,42 € addiert Komponenten widersprüchlich und passt nicht zu Gesamtkosten/Vorauszahlung.;;;;;;;
2024 Komponenten;-539,54 €;591,48 €;−539,54 + 591,48 = 51,94 €;51,94 €;BK-Nachzahlung und HK-Guthaben müssen saldiert werden.;;;;;;;
Guthaben 2022–2024;942,77 €;1.534,25 €;352,46 + 538,37 + 51,94 = 942,77 €;942,77 €;1.534,25 € verwendet den widersprüchlichen Wert 643,42 €.;;;;;;;
BK-Anteil 2022;1.016,69 €;1.086,69 €;1.086,69 + 1.014,85 = 2.101,54 €;1.086,69 €;Neue Beweisanalyse/Einreichungsmappe stimmt mit Gesamtkosten überein.;;;;;;;
2020 Heizung;268,45 €;866,00 €;866,00 + 210,06 = 1.076,06 €;866,00 €;Neue BK-1-Auswertung liefert konsistente Heizung-/WW-Summe.;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
BEWEIS- UND VORLAGEANTRÄGE – KONKRETISIERT;;;;;;;;;;;;
Priorität;Unterlage;Zeitraum;Beweisfrage;Ziel;Status;;;;;;;
1;Originalabrechnungen und Einzelbelege BK-1;2009–2024;Stimmen Wohnungsanteile, Zeiträume und Vorauszahlungen?;Reproduktion der Jahresrechnung;"PDF vorhanden; Belegeinsicht ergänzen";;;;;;;
1;Aufteilung Wärme/Warmwasser nach § 9 HeizkostenV;2022–2024;Wie wurden verbundene Kosten getrennt?;2023 WW=0 und 2024 Split klären;Anfordern;;;;;;;
1;HKV-Rohablesungen / Bewertungsfaktoren;2014–2021;Warum 13.448,22 Einheiten 2021?;Technische Plausibilitätsprüfung;Anfordern;;;;;;;
1;Gerätestammdaten / Wechsel-/Eichprotokolle;2014–2024;Welche Geräte, Faktoren und Einbaudaten galten?;Messkette prüfen;Anfordern;;;;;;;
1;BK-5 Mietkonto;2022–2024;Wurden 942,77 € korrekt verrechnet?;Rückstands-/Kündigungsprüfung;Von Klägerseite vorzulegen;;;;;;;
2;Gebäude-Gesamtkosten und Lieferrechnungen;2018–2024;Erklären Liefermengen/Preise die Sprünge?;Kostenentstehung prüfen;Anfordern;;;;;;;
2;Vorauszahlungsbuchungen;2022–2024;Stimmen 2.454 € / 3.120 € / 3.120 €?;Saldenprüfung;Mietkonto/Bankbelege;;;;;;;
2;2023 HK-Abrechnung Original;2023;Warum WW=0 und warum 1,94 € Differenz?;Materielle Korrektur;Lesbare Kopie anfordern;;;;;;;
